video_title,video_id,comment_author,comment_text,comment_likes
#PACTO,H2dCQB0L2UI,@paull.Follën,"SERIE B PRO PATÉTICO PARANAENSE,TIME DE VÁRZEA 😂😂😂😂😂😂😂😂",0
#PACTO,H2dCQB0L2UI,@matheusyago-x9x,"SAI FORA ESSE TIME É DO DEMONIO POR ISSO QUE NÃO GANHA NADA E FOI REBAIXADO TA MARRADO EM NOME DE JESUS
VAI SÃO PAULO🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪🇾🇪❤️🤍🖤",1
#PACTO,H2dCQB0L2UI,@leaovegano4232,"Foram mecher com o tinhoso, cairam 😂😂😂😂 bem feito.",1
#PACTO,H2dCQB0L2UI,@GabrielLopes-s4f,"Time do diaboooo
Foi fazer pacto 
E caiu no centenário 🎵🎶🎵",0
#PACTO,H2dCQB0L2UI,@GabrielLopes-s4f,O pacto da série b,0
#PACTO,H2dCQB0L2UI,@leonardopressato1580,🤣🤣🤣🤣 Jesus é maior 😂😂😂😂 🅱️🅱️🅱️🅱️,0
#PACTO,H2dCQB0L2UI,@luc91039,HAHAHAHAHAHAHAHAHAHHAAU 🅱️,0
#PACTO,H2dCQB0L2UI,@coiote2670,😂😂😂😂😂😂😂😂😂😂😂,0
#PACTO,H2dCQB0L2UI,@coiote2670,"Oi, venho te avisar que Jesus está voltando, se converta a ele antes que seja tarde, e se arrependa dos seus pecados de todo o vosso coração. E lembre-se Deus te ama e isso está escrito na Bíblia.
João 3:16 ""Porque Deus amou o mundo de tal maneira que deu seu filho unigênito, para todo aquele que nele crê não pereça, mas tenha a vida eterna"". Jesus te ama✝️🙏",0
#PACTO,H2dCQB0L2UI,@fabio7413,Com Deus n se brinca.,0
#PACTO,H2dCQB0L2UI,@erickrocha9123,Agora vão jogar na profundezas do inferno série b kkkk,0
#PACTO,H2dCQB0L2UI,@erickrocha9123,"Esses dirigentes acham que o club são deles, como fazem uma merda dessa ? Dentro do club, entre torcedores existem vários tipos de religiões eles mete uma dessa kkkk",0
#PACTO,H2dCQB0L2UI,@YohananMexa,"MDS do céu, oq é isso? 🤣🤣🤣",0
#PACTO,H2dCQB0L2UI,@Henryney0606,🅱️,0
#PACTO,H2dCQB0L2UI,@DacioX,Toma o rebaixando capeta em nome de Jesus 🎉,1
#PACTO,H2dCQB0L2UI,@tiagokatringue,😂😂😂😂😂😂 tá amarrado!,0
#PACTO,H2dCQB0L2UI,@O-Dev-LG,Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
