video_title,video_id,comment_author,comment_text,comment_likes
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@jeannebezerrasilva8237,Sem som,0
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@pioneiro6062,"""Athletico do Paraná"" um narrador falar assim pqp",0
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@temilsonpereira376,JOSÉ WOLLACYV,1
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@amarelimmotoca6759,Será qual desses garotos vai subir para o profissional? O Almeida jogou bem na copinha e será que alguém mais subirá?,0
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@BrenopraxedesMascarenhas,Que todos jogos podia ser no accioly,2
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@naoniolopes3554,Gostei muito da transmissão,1
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@lamatoso,"Caro narrador da Dragão Tv, vocês não falam Atlético de Goiás, portanto não tem sentido falar Athletico do Paraná.
Atlético Goianense, Athletico Paranaense, simples.",1
Brasileiro Sub-20: Atlético Goianiense x Athlético-PR - Ao vivo Dragão TV,x7R7woVJ-_8,@jandermarcal527,PITUCA e aquele meia do atlético?,1
Ao vivo: Atlético Goianiense x América-MG - Campeonato Brasileiro sub-20,Mjn5307kpPQ,@amarelimmotoca6759,Rapaz a coisa tá feia,1
Ao vivo: Atlético Goianiense x América-MG - Campeonato Brasileiro sub-20,Mjn5307kpPQ,@CassiaAparecidaRodrigues,Bora dragão,1
Ao vivo: Atlético Goianiense x América-MG - Campeonato Brasileiro sub-20,Mjn5307kpPQ,@CassiaAparecidaRodrigues,❤️🖤🐉,2
