video_title,video_id,comment_author,comment_text,comment_likes
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@ArthurCruz-pv7bm,O baradão tá igual o Maracanã quando tem jogo do flamengo,1
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@Icaro-d9z,Mercado vei porraaaaaaaaaaaaaaa,0
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@Icaro-d9z,Vai pa desgraça,0
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@NicolasRivaldo-gx5cr,Chama samu,1
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@gabrielcardoso-b4d,e o vitoria papai,1
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@1909-t7c,As torcida terceirizada do flamengo kkkkkkkkkkkkkk,0
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@wevertonvital4805,"Momento ""Chama SAMU"" é em 2:06:40",3
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@ademirviscovini1530,BAHÊÊCITY 💙,1
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@joelalvesdasilva7578,"BAVI É BAVI,mas pra Rogério Ceni é só uma partida como outra qualquer.",1
VITÓRIA 3 x 2 BAHIA - JOGO COMPLETO - BAIANÃO (18/02/24),UDG7rrsKogU,@NormaLucia-lo7sh,Vitória 3x2 Bahia,1
