video_title,video_id,comment_author,comment_text,comment_likes
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@BotafogoTV,"Embalado [ LEEmbalado [ LETRA ]

(wo, wowoo-ô)

Cheguei com más notícias para quem quis ver  meu fim
Topo do topo nego, to com todo meu team 
No cap, é simples assim
Pique Garrincha, já sabem o que eu vou fazer mas ninguém tira a bola de mim

Essa é a vida dos altos e baixos, de vencer pra manter a tradição
Uma hora no fundo do poço, outra hora com o mundo na mão
Mama falou “tá sozinho não” 
Que pra ela sou uma estrela,
Não esperava a estrela solitária ser capaz de mover uma multidão

Lá lá, olha quem voltou, cês não tavam prontos pra isso Haha!
Tua infelicidade é do tamanho do meu sorriso
Para, Nego eu aposto tudo é all-in (embalado)
Esse é meu team,
Não brinca com fogo neguin!

JOGADOR DE LUXO YEAH
MACIÇO NO PULSO YEAH
BROTEI DE CAMISA 7
CAUSANDO TUMULTO YEAH
EMBA-EMBA-EMBALA
EMBA-EMBA-EMBA-EMBALADO

Única estrela brilhando nos mares, na terra e no céu
Sempre destinado à glória, gloriosa é a história, protagonista o papel
Sempre vão tentar te derrubar, mas não para
Nunca se esqueça que não se compara
Honra a camisa se concentra e embala
Ergue a cabeça, conquista e não para

Eu sou sagrado yeah
Pelo gol de Túlio, batizado yeah
Tô em campo pra deixar legado yeah
Meus rivais com medo de me ver vencer

No baile eu sou Nilton Santos, trajado com o manto sempre preto e branco
De canto me viu rabiscando, melhor que o Didi no campo, baby
Desde menor escolhido, baby
Fogo no baile te deixa crazy, vai sempre me ver portando,
Balançando e minha tropa comemorando a vitória

JOGADOR DE LUXO YEAH
MACIÇO NO PULSO YEAH
BROTEI DE CAMISA 7
CAUSANDO TUMULTO YEAH
EMBA-EMBA-EMBALA
EMBA-EMBA-EMBA-EMBALADO

Na vida se eu caio eu levanto
Nós sempre tem outro plano
Tomando de volta meu trono, eles nem piscaram e nós já tá voltando
Uh, minhas jóias no banco, diamantes sempre brilhando
Meus menino voando
A base é forte! 

Sai do chão, que eu to embaladão, jogando demais
Chay da frente, se tentar com a tropa, cês vão passá mal
Vê se aprende, maior da história, o mais tradicional
Se não entende vai ter que assistir calado a nossa vitória
De volta onde sempre foi seu lugar…

Por aqui tá tudo lindo!
Voltei pro lugar que nem era pra ter saído ô!
Terror dos adversários, alegria de domingo,
Seja no Maracanã ou no Niltão to sorrindo ô!

EMBA-EMBALADO

É que meu amor nunca morreu
Pitbull alvinegro assim sou eu UH - UH
Cavadinha no ano de 2010 que deixou todo mundo Loco Abreu
Eu na arquibancada, balanço a bandeira,
Canto o hino e vaio se eles fazem cera
Preto e branco é o sangue, não falo besteira
Nosso time sempre vai ser de primeira

Hoje não dá, hoje não dá, hoje vai ter jogo do Botafogo
O glorioso, yeah, é o meu grande amor
É o meu grande amor , é o meu grande amor
O glorioso, o glorioso é o meu grande amor

JOGADOR DE LUXO YEAH
MACIÇO NO PULSO YEAH
BROTEI DE CAMISA 7
CAUSANDO TUMULTO YEAH
EMBA-EMBA-EMBALA
EMBA-EMBA-EMBA-EMBALADOTRA ]

(wo, wowoo-ô)

Cheguei com más notícias para quem quis ver  meu fim
Topo do topo nego, to com todo meu team 
No cap, é simples assim
Pique Garrincha, já sabem o que eu vou fazer mas ninguém tira a bola de mim

Essa é a vida dos altos e baixos, de vencer pra manter a tradição
Uma hora no fundo do poço, outra hora com o mundo na mão
Mama falou “tá sozinho não” 
Que pra ela sou uma estrela,
Não esperava a estrela solitária ser capaz de mover uma multidão

Lá lá, olha quem voltou, cês não tavam prontos pra isso Haha!
Tua infelicidade é do tamanho do meu sorriso
Para, Nego eu aposto tudo é all-in (embalado)
Esse é meu team,
Não brinca com fogo neguin!

JOGADOR DE LUXO YEAH
MACIÇO NO PULSO YEAH
BROTEI DE CAMISA 7
CAUSANDO TUMULTO YEAH
EMBA-EMBA-EMBALA
EMBA-EMBA-EMBA-EMBALADO

Única estrela brilhando nos mares, na terra e no céu
Sempre destinado à glória, gloriosa é a história, protagonista o papel
Sempre vão tentar te derrubar, mas não para
Nunca se esqueça que não se compara
Honra a camisa se concentra e embala
Ergue a cabeça, conquista e não para

Eu sou sagrado yeah
Pelo gol de Túlio, batizado yeah
Tô em campo pra deixar legado yeah
Meus rivais com medo de me ver vencer

No baile eu sou Nilton Santos, trajado com o manto sempre preto e branco
De canto me viu rabiscando, melhor que o Didi no campo, baby
Desde menor escolhido, baby
Fogo no baile te deixa crazy, vai sempre me ver portando,
Balançando e minha tropa comemorando a vitória

JOGADOR DE LUXO YEAH
MACIÇO NO PULSO YEAH
BROTEI DE CAMISA 7
CAUSANDO TUMULTO YEAH
EMBA-EMBA-EMBALA
EMBA-EMBA-EMBA-EMBALADO

Na vida se eu caio eu levanto
Nós sempre tem outro plano
Tomando de volta meu trono, eles nem piscaram e nós já tá voltando
Uh, minhas jóias no banco, diamantes sempre brilhando
Meus menino voando
A base é forte! 

Sai do chão, que eu to embaladão, jogando demais
Chay da frente, se tentar com a tropa, cês vão passá mal
Vê se aprende, maior da história, o mais tradicional
Se não entende vai ter que assistir calado a nossa vitória
De volta onde sempre foi seu lugar…

Por aqui tá tudo lindo!
Voltei pro lugar que nem era pra ter saído ô!
Terror dos adversários, alegria de domingo,
Seja no Maracanã ou no Niltão to sorrindo ô!

EMBA-EMBALADO

É que meu amor nunca morreu
Pitbull alvinegro assim sou eu UH - UH
Cavadinha no ano de 2010 que deixou todo mundo Loco Abreu
Eu na arquibancada, balanço a bandeira,
Canto o hino e vaio se eles fazem cera
Preto e branco é o sangue, não falo besteira
Nosso time sempre vai ser de primeira

Hoje não dá, hoje não dá, hoje vai ter jogo do Botafogo
O glorioso, yeah, é o meu grande amor
É o meu grande amor , é o meu grande amor
O glorioso, o glorioso é o meu grande amor

JOGADOR DE LUXO YEAH
MACIÇO NO PULSO YEAH
BROTEI DE CAMISA 7
CAUSANDO TUMULTO YEAH
EMBA-EMBA-EMBALA
EMBA-EMBA-EMBA-EMBALADO",2425
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@MultiJose79,BOTAFOGO DE FUTEBOL E REGATAS !,0
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@junkerXD,Embalado 2 Vezes aguardando mais taças !!!,1
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@ypolxr,"eu te amo e pra sempre vou te amar, que ano, obrigado BOTAFOGO!",0
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@ShuratoSp,Campeões porra 🔥🔥🔥🔥🔥,0
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@Heloisa1957,"Campeões da Libertadores e do Brasileirão!!🙏🏽🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍🖤🤍
Rumo ao Mundial!!😉🙏🏽",0
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@RafaelDirques,"VENHO DE 2024 E DIGO, O SONHO FOI REALIZADO E A ESTRELA SOLITÁRIA MOVEU MULTIDÕES 🖤🤍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",1
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@rodrigoferreira9704,CAMPEÃO DA LIBERTADORES E DO BRASILEIRÃO 2024!!! 🔥💥🔥💥🏆🏆,2
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@vitoralmeida5432,Torcida do acre que é mt grande,1
"EMBALADO | [feat. Mãolee, Evan Maurilio, Sos, Maquiny e Sobs]",CtEnCfrQ-kE,@vitoralmeida5432,Dá-lhe fogao meu deixou muito feliz,1
