video_title,video_id,comment_author,comment_text,comment_likes
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@AlineSullivan,Vai cabuloso,0
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@fernandolbbonadeu7826,Show de bola kakaroto,0
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@emillysantos6486,CRUZEIRO VIRO DE 2X3 VAMO CRUZEIRO,0
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@Lemietion300,Parabéns eu sou cruzeiro más assistir o amistoso no canal de vcs transmissão perfeita já a do Cruzeirao precisam melhorar muito.,0
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@edsonretrohardwere8566,"no lance do pênalti o comentarista  nao deveria da esse tipo de opinião pois ele ta claramente torcendo pro RB, e injusto torcedores narrar jogo ..legal e que no you tube foi 77 mil conexões de minas gerais e 12 mil de são Paulo nisso se vê como a torcida do cruzeiro é fanática",0
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@ramoncomentaristadevideos4241,Narração muito superior a do Cruzeiro  👏👏👏👏👏👏,1
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@vitorsousa1341,"Sou cruzeirense! parabéns pra vcs ,verdadeiros profissionais!excelente transmissão!pessoal do cruzeiro tem que aprender muinto cm vcs ! Sem contar qualidade de imagem no canal do cruzeiro toda hora travava",1
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@patrick_Cec,Excelente transmissão!! 🔵⚪️🦊,2
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@tarcisioretrogames1936,"Bragantino nao ganha nem amistoso, incrivel",0
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@RP-53,Muitos cruzeirense viram o jogo aqui,3
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@jonathan53219,Aprende aí Cruzeiro.,0
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@gabrielmendonca5018,Muito boa transmissão! Fique esperto Cruzeiro,2
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@jeandemeloandrade9168,parabéns pela transmissao 👏👏,1
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@andreoliveira1508,"A evolução do Chico é nítida, mas não é pra menos, quem acompanha ele nas redes sociais sabe que se dedica muito",2
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@Joaopedro-pd6of,"Ótima transmissão, aprende aí cruzeiro",2
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@ruanfarias3754,"Sou cruzeirense, mais acompanhei aqui , foi muito boa a transmissão.",10
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@douglasmcp,Parabenizar a transmissão pelo profissionalismo e qualidade. Sou cruzeirense mas preferi acompanhar o jogo inteiro pelo canal de vcs pela qualidade superior 👍🏼,20
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@pedrosoares4328,Muuto bom so cruzeiro mais ta bom a imagem,1
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@diegoventura8218,Parabéns pela transmissão parcial! Saudações celestes!,9
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@Ecindependente,Chupa aqui é cruzeiro porra,1
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@wallysilva6937,Excelente transmissão! Imagem maravilhosa e sem travamentos! 👏👏👏,6
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@v0idness_,gol de futsal KKKKKKKKKKK,2
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@cristianoramos2781,"Parabéns, pessoal. Excelente o material de vocês, fora os profissionais de alta qualidade.",4
RED BULL BRAGANTINO X CRUZEIRO | AMISTOSO,4PxYAHrp_Lw,@felipe-kq5uw,"Parabéns a equipe de transmissão do Bragantino, tava vendo no canal do Cruzeiro, mas tava muito ruim. Deram 10-0 no canal do Cruzeiro!",35
"POR TRÁS DO MANTO | Ep. 1 - Uma visita ao camisa 10 do Braga, Artur Victor",psUB-f-30bE,@graveoeste5590,Voltei aqui depois que soube q  a esposa dele descobriu uma traição kkk,0
"POR TRÁS DO MANTO | Ep. 1 - Uma visita ao camisa 10 do Braga, Artur Victor",psUB-f-30bE,@PedroOliveira-hv5qv,Artur obrigado por tudo que você fez para o massa bruta que você seja muito feliz volta logo para  a seleção Brasileira você merece 🏆🎖️,0
