video_title,video_id,comment_author,comment_text,comment_likes
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@PedroHenriqueBrasil-ws2ws,bora cruzeiro ser campeão de sul-americana eu tenho respeito pelo o cruzeiro 🦊🤝🦅💙🤍🖤🤍,0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@AGUENINHA,"Nunca q o SP teria deixado o Rogerio encerrar a carreira em outro clube.
Cassio merece, sorte do Cruzeiro!",0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@AlexRodrigues-k8v,Vamos Cássio mostrar porque vc saiu do Corinthians e seu talento,0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@LactoVaciluss,Grande goleiro,1
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@Klayton_07,"Que esse goleiro faça nosso time ganhar várias libertadores, várias copas do brasil e etc , e NOIS CASSIO 😊❤",0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@CAMPEÃOACABAMENTOS,Sou cruzeirense  obrigado Pedrinho Deus te abençoe sempre e o Cássio também,0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@rosanafernandes3018,"Felicidade, sucesso, Cássio!!!❤",0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@mzxit,12,0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@mzxit,👍,0
🦊 O GIGANTE CHEGOU!! Os bastidores do primeiro dia do goleiro Cássio no Cruzeiro!,-SWVW8pt0hU,@jonnyp3399,"Se o Dudu chegar, Cruzeiro entra forte pra levar tudo",0
