video_title,video_id,comment_author,comment_text,comment_likes
A Nação abraça o Flamengo,4RBPMlRskM4,@SidneiFrancisco-ru9bv,❤️🖤,0
A Nação abraça o Flamengo,4RBPMlRskM4,@zlozanoembraza1794,A cena do Diego dormindo é absoluta cinema kkkkk,1
A Nação abraça o Flamengo,4RBPMlRskM4,@raquelima_,É muito bom ser flamengo,1
A Nação abraça o Flamengo,4RBPMlRskM4,@sunset8734,Saudades que não cabem no peito,1
A Nação abraça o Flamengo,4RBPMlRskM4,@lidianesoares2772,Torcida que arrepia… quem viveu não esquece,0
A Nação abraça o Flamengo,4RBPMlRskM4,@pedroplayff6155,Alguém em 2024😢,4
A Nação abraça o Flamengo,4RBPMlRskM4,@arturmarques587,2024 assistindo esse momento inesquecível ❤🖤,3
A Nação abraça o Flamengo,4RBPMlRskM4,@DavidBryan777,Nunca vou esquecer desse dia obrigado Flamengo 🤧❤️‍🔥,0
A Nação abraça o Flamengo,4RBPMlRskM4,@Niltonnacimento-g2i,"Amanha faz 5 anos desde dia inedito,esse dia jamais sera esquecido na vida de um flamenguista,eu te amo flamengo❤❤",0
A Nação abraça o Flamengo,4RBPMlRskM4,@LindomarAlfaia,Gabi 💪😉,0
A Nação abraça o Flamengo,4RBPMlRskM4,@alexandrebarros8902,Melhor dia da minha vida ❤❤❤❤,0
A Nação abraça o Flamengo,4RBPMlRskM4,@CraneoZZ,Assistindo em 2024 com a mesma emoção do dia da final!!! Ser Flamengo é inesplivavel!!!,2
A Nação abraça o Flamengo,4RBPMlRskM4,@DGNATURAL,Melhor dia da história da minha vida,0
A Nação abraça o Flamengo,4RBPMlRskM4,@danieljrdias441,"O melhor momento da minha vida, obrigado Flamengo",0
A Nação abraça o Flamengo,4RBPMlRskM4,@MayconAraujo-g6j,Ali foi demais ❤❤❤❤❤,0
A Nação abraça o Flamengo,4RBPMlRskM4,@isabelaribeiro7358,"Alguém em 2024?
Felipe Luiz hj e técnico do Flamengo kkkk",0
A Nação abraça o Flamengo,4RBPMlRskM4,@RonaldoOliver-er7lt,2024? hahaha,0
A Nação abraça o Flamengo,4RBPMlRskM4,@Geleinhaverde0,0:54 dale dale dale mengo pra cima deles Flamengo dá-lhe dá-lhe dá-lhe mengo pra cima deles Flamengo❤❤❤,0
A Nação abraça o Flamengo,4RBPMlRskM4,@DeivisonCarlos-uv9zk,Mas nao ganharam o mundial kkkkkk,0
A Nação abraça o Flamengo,4RBPMlRskM4,@ailtonpereirabatistabatist4580,"Foram momentos lindos e únicos, mesmo em uma multidão sentimos  que o momento e unicamente nosso",0
A Nação abraça o Flamengo,4RBPMlRskM4,@RodrigoCarneirodePaiva,"Eu estava , melhor momento com flamengo e com meu pai de Brasília pra receber a tarça , junto com a nação 🔥",1
A Nação abraça o Flamengo,4RBPMlRskM4,@BloxMilitaRico,Eu 4 anos depois eu chorei tava no meio quando os cara vai embora soltam bomba com os negócios que arde o nariz olho tinha gente desmaiando,0
A Nação abraça o Flamengo,4RBPMlRskM4,@JosueSilva-bj2rw,Roubaram  nois no mundial,0
A Nação abraça o Flamengo,4RBPMlRskM4,@LuizGabrielSilvaAraujoTavares,Te amo Mister,0
A Nação abraça o Flamengo,4RBPMlRskM4,@DirceMaciel-j3w,Josericardo flamengo.caedavautaganhamaraxmaralanha.ganha.tautalbraseiro,0
A Nação abraça o Flamengo,4RBPMlRskM4,@Araimiranda,😊😊😊😊,0
