video_title,video_id,comment_author,comment_text,comment_likes
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@joaopaulooliveira3042,1:14:27,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@nexthousegestao603,Pagando caro por ter jogadores com idade avançada- f melo - marcelo - r augusto - barca vai afundar Diniz culpado e diretoria tb,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@987456123421,é pequeno Liam GANHAMOS A AMÉRICA,1
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@_GabrielAlves,A LIBERTADORES É NOSSA CARALHO !,1
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@021_astro01,A América é nosso,1
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@pontesneto3922,2:06:43 Eu tenho uma notícia pra te dar Lian!  DEU TUDO CERTO! VENCEMOS A LIBERTADORES ❤,8
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@Paulof548,#Fluminense M12,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@canalzinho5698,1:08:27 quando ele fala do VERDADEIRO Manto HAHAHAHAHAHA,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@naldouchoa1822,Flamengo em crise bateu no fluminense de novo 😢,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@EduardoLima-ux4rv,"Mt lindo a apresentação e ainda bem q eu tava lá, com Marcelo, André, Arias, Ganso e Cano exqueceeee Fluzão vai ganhar tudo.🇭🇺🇭🇺🇭🇺🇭🇺🇭🇺",0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@julio171loko,"Top ein , que festa linda da torcida do Flu, parabéns .",0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@gabrielfernandes5552,Como chama essa DJ ?já vi ela num reality Show da MTV se não tiver enganado 🤔,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@wilsoncarvalho4967,A torcida do Fluminense e muito maior do que a pesquisa mostra tem 6 milhos de torcedores,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@army.angel33,"A torcida brasileira é diferente. Ela é bem animada e agitada, e eu amo isso nela.",0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@Lclclclc21,Tá bem Representado o Fluminense.. SRN,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@joaodaniel5328,1:28:29 blusa do flamengo não e camisa e manto kkkkkk,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@josehyosunggtr4104,Marcelo é um lateral esquerdo diferenciado dimais pois tem um domínio de bola incrível parabéns ao Fluminense e q ele de certo,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@anapauladebrito,Fsjsud8 e sofkd,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@BoinabrasaTv,Isso aqui é Flamengo 🦅🔴⚫🔴⚫🔴,1
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@0_IamNotGoJo,"No grêmio contrataram o Suarez e agora o Marcelo no fluminense,  acabo...",1
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@0_IamNotGoJo,Fudeu pra todo mundo,0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@Agropecuariaparaiso-ec5fg,"Cade a bicicleta 🚲 do Fred, era pra Marcelo te entra na bicicleta do Fred 🤣🤣🤣🤣",0
FLUTV - APRESENTAÇÃO DO MARCELO NO MARACANÃ I #M12,da7Aoh_oNF8,@Agropecuariaparaiso-ec5fg,FlumiC e tão nanico que o ídolo deles é o Fred 🤣🤣🤣 e ainda fazem livro 📖 do carioca kkkkk os Virgem da América,0
