video_title,video_id,comment_author,comment_text,comment_likes
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@IvonnySousa-b3j,o time melhor que tem 😂❤❤,1
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@AntôniadeuzivaniaDeuzivania,❤❤❤❤❤🎖🎖🏆⚽️⛳️⛳️,1
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@MayaraFaco,"Agora só falta um hip Hop do fortaleza ou 


Vocês vão dar sugestões",0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@andresasoares4872,AQUI EM CASA TODO MUNDO É LAION,0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@glaucineideoliveiranunes8637,✌️,0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@josefamartadeoliveira9115,I Love Fortaleza,0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@BrunoHenrique-hm5qo,"Sou CSA-Al, mas que música massa meu irmão 👏🏾👏🏾",0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@gatitojr1780,"Sou flamenguista, fui assistir um jogo no castelão e me impressionei com a torcida. Vcs são foda",0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@vilmamarques-d3w,Fortaleza tu es o time que mirou minha cabeça o sangue tricolor que corre  na minha aveia o centimento que nunca entederan samos teu do e tua alma tua nação o fortaleza me esquesen,1
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@vilmamarques-d3w,Eu amo ela❤,1
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@Brasileiro85,Eu voto no Fortaleza no time vocês são fã de 🇧🇷👍👍,0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@nailtonvieira9695,"Esse time é de série C , Faz o L aí de LDU 15C",0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@LEANDRO_RABELO,*FORTALEZA 🇳🇱 🦁*,2
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@marciasilva9417,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@marciasilva9417,10j9bem 999ozjjs,0
BATISMO TRICOLOR | VERSÃO PISEIRO | TV LEÃO,6HGV2gJQvDA,@mariadosocorrodasilva,Maravilhoso,0
