video_title,video_id,comment_author,comment_text,comment_likes
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@renatalorenz1153,Recupere mercado,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@marlon16701,"Jogo histórico, certamente essa campanha terminou em título.",0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@castilhos_04,talvez era só isso que um colorado precisava vivenciar mais um dia...,1
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@viniciusjunqueirafilho8663,Nenhuma torcida no Brasil merece mais um título do que a torcida do Inter,1
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@GiovanniHipHop,"tinham q ter contratado esse barco do river, nao lixo de borré",0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@carolinepires3431,VAMO INTER VAMO INTER VAMO VAMO MEU INTER VAMOS LUTAR ATÉ MORRER SEREMOS CAMPEON❤❤🇦🇹🇦🇹,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@freefirexcapa7331,Rochet vai vira ídolo fácil.,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@viniciusjunqueira1179,"Uma das melhores noites de todos os tempos, que resumiu o orgulho de ser Inter... TE AMO PRA SEMPRE, até o último dos meus dias, querido e amado Sport Club Internacional ❤🤍❤",0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@pmxrtins,Esse dia foi louco 🫂💥,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@vitornascimento2694,Não entendo como agente derrota um de 4 Libertadores e perde uma semifinal contra um time que não tinha nenhuma,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@adrielirabello6675,Ainda doi,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@GIGANTEcampeãoMundialFIFA,"INTER MAIOR DO SUL
🔴🔴🔴🔴🔴🚩🚩🚩🚩🚩🚩🚩",1
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@dudu-hc9dn,Como essa libertadores nao foi nossa?,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@cristianmedeiros8434,parabéns pela taça PASSAR DO RIVER 😂😂,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@sagasdehistorias,"Mano que pena que essa vitória foi inútil 😢, jurei que a partir da elinacao pro fluminense na semi da liberta,so vou comemorar taça se ja tiver na mão,torcedor anda cansado de vitórias inúteis.",0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@guilhermemross8739,A invencibilidade do Inter Bastidores caiu hoje de vez!,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@coelhovideos94,Esse dia foi loko,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@lucassteffen.,TE AMO INTER ❤️🇲🇨🇲🇨🇲🇨,0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@lucaspb2379,SEREMOS CAMPEOES,1
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@gauchopoabr4529,Já vi o vídeo umas 10 vezes ... rs.,1
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@fabianocoutosilva,"Vamo, vamo Inter!!!",1
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@Internacional_Gigante,🇧🇭🇧🇭🇧🇭🇧🇭🇧🇭🇧🇭🇧🇭🇧🇭🇧🇭É COLORADO,2
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@O-Clube-Do-Povo-S.C.I,ISSO É INTER🔴⚪🔴⚪🔴⚪🔴,1
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@ACADEMIA-DO-POVO1909,GIGANTE🇦🇹🇦🇹🇦🇹🇦🇹🇦🇹🇦🇹🇦🇹🇦🇹🇦🇹,2
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@mosszenbach180,"Galwra critica o Barcellos, muitas vezes com razao, mas nao tem como dizer que o cara naoneh colorado. Eh treta ser presidente de futebol em clubes sem tanto poder financeiro.",0
Bastidores: Inter 2(9)x(8)1 River Plate-ARG | CONMEBOL Libertadores,l4c4sK_Nz6U,@rosasilveiradaluz2062,"Vamo Inter certeza no olhar e firmeza no pé em direção a rede 
Isto aí Intet",0
