video_title,video_id,comment_author,comment_text,comment_likes
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@vorlecruz,O jogo de hoje vai ser transmitido ??,0
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@jonathanlaurentino4362,Alguém sabe que horas vai ser o jogo hj?,0
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@ЭльдарПугачев-ж6е,Завтра во сколько ?,0
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@pauloalmeida1918.,"Essa paralisação acaba meio que beneficiando o  Juventude, pois a equipe do Fortaleza era bastante superior e tinha tudo para fazer um gol para levar para os pênaltis e possivelmente tinha tudo para fazer mais um e líquidar a partida.",2
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@ClovesPadilha-dq8wr,"TÁ  HORA  JUVENTUDE  VAI GURIAS
ADORO FUTEBOL FEMININO VAI",1
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@JorgeLuiz-ux5yb,Jogo pausou,0
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@muhammedaksak35,BURDA MISINIZ,0
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@MatheusCarvalho-w7e,Boraaa,0
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@MatheusCarvalho-w7e,Boraaa,0
TRANSMISSÃO COM IMAGENS! JUVENTUDE x FORTALEZA-CE | BRASILEIRO FEMININO A2,J7y0MkZcO_U,@mani19xx,When are they gonna continue ?,0
AO VIVO COM IMAGENS | JUVENTUDE x CORINTHIANS | BRASILEIRO FEMININO SUB-20,NviUnue0XaE,@celitafriedrich1305,"Estamos, assistindo, torcendo para as curias do juventude,jogam muito São João do oeste Santa Catarina, torcendo muito para Vanice",0
AO VIVO COM IMAGENS | JUVENTUDE x CORINTHIANS | BRASILEIRO FEMININO SUB-20,NviUnue0XaE,@edilvansoares2893,"Vamos com tudo 
Vai Corinthians",0
AO VIVO COM IMAGENS | JUVENTUDE x CORINTHIANS | BRASILEIRO FEMININO SUB-20,NviUnue0XaE,@matm.,👍👌,1
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@margaretelora4880,Amo esse clube. Dá -lhe Ju!!!,3
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@fatimasantos8984,Muito top vcs são muito organizados mesmo vc merecem vão ser camipão,5
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@maxweber7969,O cartolouco chegou ficar de cara!!!,3
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@user_3267-p2z,Vamos Juuu!!!! Aqui é o jaconero,2
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@JoaovictorCarneiro-qx4uj,Força grêmio,0
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@Anderson-r8c,Não sabia q o caetoloco era Gaúcho,1
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@lucianomarques2480,"Esse cara não é legal 
Ele teve num reality 
Power cup acho que é isso 
Lá ele se revelou",0
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@marcusalves9706,Acho que ele esqueceu do colossal 🔴⚫,1
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@welli503,Caxias se perdeu e o Ju se ergueu. Ano q vem tá de volta a elite do futebol brasileiro,6
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@Josias2312,"Pior que eu vi esse cara na maria da toca, um bar aqui em caxias do sul, tava bem locão kkkkk mas é gente boa pra caramba!",9
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@ronaldofernandes9876,"Eu gosto desse clube, não sei pq , e olha que sou do Amazonas e tenho um carinho pelo juventude",24
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@showsderapemcampos,As pessoas esquecem que o juventude é campeão da copa do Brasil dentro do Maracanã!!!,9
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@LÊOBAHEA,Vamos Juventude pra série A 😮👊👏👏,3
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@luisgomes9501,Vcs vam subi mais vai leva uma lapada amanhã do rei da selva pode escrever Diego Souza vem ao fic esperto,1
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@sombrio_delfino5269,Oq q o cartolouco está fazendo aí? Kkkk,0
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@VERDOENGO,"Uuu tá manero , o CARTOLOUCO É JACONERO!!!!!🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬",3
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@ecastel1977,"Muito se deve às decisões do Dal Zotto. Investiu forte na estrutura, mesmo sofrendo críticas. Visão de futuro sólida do nosso JU.",18
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@adawil,Sem pressão,1
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@DiguinhoMVJPOA,Vaaaamooo,2
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@rafaelcunha7854,Cartola  falou tá falado. Campeão,4
Cartolouco Jaconero 🟢⚪️,tQTE-KqYjrE,@papodejaconero,muito top,8
BOM VELHINHO É JACONERO,Nykywh9eTOU,@veditoining,"Juv tá precisando d investidor  p.c.manter na A e de alguém q contrate bem existe bons nomes sem gasta absurdos , c precisa passo uma lista ,:)",0
BOM VELHINHO É JACONERO,Nykywh9eTOU,@claudiaaguiar5488,"O melhor foi ouvir ele falando: ""BAH""!!!💚💚💚",3
BOM VELHINHO É JACONERO,Nykywh9eTOU,@gabrielmarques214,Nenê é carisma puro,1
BOM VELHINHO É JACONERO,Nykywh9eTOU,@gabrielmarques214,Sou VASCÃO e que vídeo foda.Todo sucesso pro Nenê!!!,0
BOM VELHINHO É JACONERO,Nykywh9eTOU,@acquajob2658,"Sou Vascao e Colorado no Sul.. Mas vou te falar, sou jaconeiro por causa do Nene! E olha que eu gostava do Grêmio e um passado recente",1
BOM VELHINHO É JACONERO,Nykywh9eTOU,@leyraud,Genial!👏,0
BOM VELHINHO É JACONERO,Nykywh9eTOU,@ev.brunno,"Ele buscava carinho e encontrou! 
Juve campeã estadual 2024.",3
BOM VELHINHO É JACONERO,Nykywh9eTOU,@marcospaulo9x229,"já pode pedir um papel na novela das 9, ou netflix, atuou bem dms kkkkk",0
