video_title,video_id,comment_author,comment_text,comment_likes
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@renan78688,💚💚💚💚💚💚💚,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@CarlosHenrique-m5k2e,E nois Avanti palestra sempre palmeiras sou verdao,1
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@MarketingFreeStyle7,"Que saudade do Dudu, vei",0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@marciocorrea2555,Essas trilhas sonoras dos vídeos da TV Palmeiras ecoam de forma muito emocionante em nós Palmeirenses...,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@claudiasouza-yt1yu,"Assistir novamente esses momentos e esses gols é fantástico. Sempre fui e sempre serei Palmeirense, Palmeirense a quase 60 anos.Te amo Palmeiras, AVANTI PALESTRA🐷💚🇮🇹",1
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@suelifranciscodeaguiar5841,GUSTAVO 🦅💚💚,1
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@oxford_notbrogues,OBRIGADO!!! 🙏🏽💚🇳🇬,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@JulioLeone,"É Palmeiras cazzo
Abraço da terra do avião
São José dos Campos",0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@Palmeiras1567,As trikas chora até agora kkkkk,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@paulosoares2740,"Só falta começar a postar esses vídeos em 4k, bora verdaoooooo",0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@suelifranciscodeaguiar5841,🐷🐷👍💚✍️,1
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@henriquesavoia3379,Viva a Sociedade Esportiva Palmeiras,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@deborabrc,"PALMEIRAS, <3",0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@farleyanderson6844,Q SENSACIONAL !!! SÓ O PALMEIRENSE SENTE ISSO !!! 🇳🇬🇳🇬🇳🇬,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@ciceroanderson3957,Histórico,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@yanny18,vou volta no lula,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@zehintrigas,a capa é em homenagem aos são paulinos kkkkkkkkk,1
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@chengxiaomi,21:31 calvo,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@mizaelreis5302,Que time e esse maravilhoso,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@AugustChagz,"quando tô triste venho ver esse vídeo, fico feliz rapidinho hahahaa te amo PALMEIRAS 💚💚💚",0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@lucasavilaoficial,Sem a Crefisa e Parmalat vocês não são nada! 🤣🤣,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@palmeirasdeca8005,Vamos Verdao 💚🐷💚🐷💚🐷💚,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@PauloHenrique-pq3bk,"Uma coisa interessante no Palmeiras é, desde 2015 que se iniciou esse projeto vitorioso, o nosso verdão tá sempre ganhando títulos de expressão. Onde eu quero chegar, o exemplo é o Flamengo que fazia décadas que não ganhava libertadores, e nenhum título nacional há muitos anos. Aí veio a temporada 19/20 e os caras conquistaram vários títulos. Mas só foi isso. Não teve uma sequência como o verdão. Agente vem de 2015 até este ano 2022 ganhando grandes títulos.",0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@claraaraujo2,O Veiga levantando a camisa e o Dudu batendo para não dar polêmica... KAKAKAKAKKAAK,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@aguinaldomassera3292,💚💚🤫🤫,1
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@lucasalves1472,Orgulho demais ❤️😭🇮🇹🇮🇹🇮🇹🇮🇹,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@aguinaldomassera3292,💚💚💚👍👍👍,1
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@divinocharles3001,Amor éterno !,0
VIRADA HEROICA! BASTIDORES DO CAMPEÃO | PALMEIRAS 4 X 0 SÃO PAULO | FINAL PAULISTA 2022,ssy4M8L_uIk,@bidujulius6253,Da lhe verdão <3,1
