video_title,video_id,comment_author,comment_text,comment_likes
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@PORTALCHOPINZINHO,E ainda tem torcedor que xinga o Nestor.. Esse cara deu o titulo que estava engasgado a 20 anos... pra sempre na historia,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@felipemariano6661,Dia de 2 de dezembro de 2024 e eu me arrepiando de novo com esse momento.  Te amo são Paulo..🇪🇬,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@AironSilva-qm8fp,E os Enzo querendo queimar o calleri ainda 😢,1
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@nevesgabriel8743,Fico pensando o caio paulista assistindo esse vídeo e lembrando que perder essa vibe!,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@joseraimundopantoja6033,SPFC SOU PAI DO FLAMENGO CARIOCA,1
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@joseraimundopantoja6033,Sou Pai do Flamengo Carioca SPFC SOU DE PORTEL PARÁ BRASIL,1
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@Lemos_0205,Novamente por aqui❤,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@paulocortes1528,❤❤,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@eunaoligo.,Baraldo é Arbeda foram a melhor dupla de zaga que EU VI JOGAR.,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@TricolorABS125M7,Obrigado depôs de tanto cobra apoia ter paciência vcs me deram título q queria... Agora mantemos o foco pra ganha mais títulos desculpa e obrigado .... Vamos São Paulo ❤❤😊😊,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@ivsonsoares5340,"Só o futebol para proporcionar tanta emoção, São Paulo Futebol Clube que amo desde antes mesmo ter nascido. 🙏🏽🇾🇪🙏🏽🇾🇪🙏🏽🇾🇪🙏🏽",0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@douglaspaiva5739,👏👏👏,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@margarethlodos7279,esse  bastodores  do ano  se ta louco  eu nunca vi o morumbi assim  essa noite entrou para historia  copa do brasil entrou para  historia  obrigado  nestor pelo gol do titulo  galeria completo agora  nao falta  mais   campeao de tudo  o rafinha ja e idolo  obrigado jogadores  obrigado presidente casares  obrigado rui costa obrigado   bielmonte  obrigado diretoria  obrigado dorival jr  como  diz  nestor  nos escrevemos  nomes da historia  essse  titulo  para nosso  clube  e para toda familha dos jogadores eu vi ultimo titulo em 2021  devid  caio palista   gabriel neves  jemes rodrigez  pato diego costa  ruan eu vou sentir saudades de  vcs  a  volta  do lucas arrepia ate hoje  lucas naseu para jogar no  sao paulo  esse  dia eu tocir para  flamengo  eu quero pedir desculpa para torcedores sao paulinos  torcedores sao paulino e  eu vamos  comemorar  muito    soltamos  o grito de campeao  a torcida cantando  ole ole tele tele  arrepia ate hoje  esse titulo ja estar na historia  obrigado deus  eu tive um sonho  que o spfc seria  campeao  de udo eu relalizi o meu sonho  esse jogadores derao raça sengue  gara  time de gerriiros,0
CAMPEÃO DA COPA DO BRASIL: BASTIDORES DA CONQUISTA | SPFC PLAY,T_HYY9jQnF4,@gabrielfrancisco6314,É bom sempre relembrar essa conquista histórica,0
