video_title,video_id,comment_author,comment_text,comment_likes
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@edsonpaixaodejesus7430,EDSON DU BRARBALHO SALVADOR VITÓRIA 2X1 PALMEIRAS,0
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@felipesousadasilva7054,🐷☘️,1
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@ailtonfranca2101,"Alerrandro não pode ser titular,  perde gol de mais.",1
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@jacksonoliveira1598,Lapada do verdao no gatinho,0
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@jacksonoliveira1598,Respeita o melhor do Brasil porcooo,1
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@rosasoaressampaio5820,"MAMÃO…
AÇÚCAR…
O VICE…
É TIME DE PUTA!!!!!!!
🐔🐔🐔🐔🐔🐔🐔🐔",1
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@dimaspaulo3066,Corra do Barradão. Vitória 0x1 Palmeiras. Pega Leão. 😂😂😂😂😂😂😂😂😂😂,0
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@tarcisionascimento5431,"Muita festa e pouco futebol. Vamos sofrer com esse time na série A. Léo Condé precisa abrir mão de algumas condições como, por exemplo, Alerrandro de titular. Com essa formação e esse time não dá!!",3
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@Vitóriaforte-Lr.lililr.l-____1,"SIGA EM FRENTE ( 1899 )
ESPORTE CLUBE VITÓRIA
FÉ🥇💍🏆NÃO DESISTA ⛏️🚶🏽‍♂️
SUA FORÇA VEM DE ONDE?
DE SUA IMENSA TORCIDA",3
VITÓRIA X PALMEIRAS | NARRAÇÃO AO VIVO | BRASILEIRÃO 2024,VJ560uOzyeY,@henriquefreitas7170,"Começou a palhaçada em perder dentro de casa😡😡. Pra esse time que nao é nenhum bicho papão, nem nada.",4
