,Athletico Paranaense,Atletico Goianiense,Atletico Mineiro,Bahia,Botafogo,Bragantino,Corinthians,Criciuma,Cruzeiro,Flamengo,Fluminense,Fortaleza,Gremio,Internacional,Juventude,Palmeiras,Sao Paulo,Vasco,Vitoria
Athletico Paranaense,1445,9,8,6,16,3,8,5,8,8,9,4,12,7,5,7,4,19,4
Atletico Goianiense,9,660,3,10,5,8,2,1,6,5,2,4,4,4,8,2,4,5,5
Atletico Mineiro,8,3,3043,7,14,7,9,1,22,9,17,6,8,9,3,12,9,14,3
Bahia,6,10,7,1997,7,8,3,2,8,5,6,12,4,5,8,9,19,6,18
Botafogo,16,5,14,7,2011,5,11,2,10,10,16,4,7,8,2,12,4,20,4
Bragantino,3,8,7,8,5,526,4,2,13,5,5,3,3,8,2,23,13,3,2
Corinthians,8,2,9,3,11,4,3488,3,10,6,7,4,8,8,3,11,14,9,3
Criciuma,5,1,1,2,2,2,3,322,3,1,2,1,3,2,2,1,4,1,2
Cruzeiro,8,6,22,8,10,13,10,3,3289,5,7,5,9,8,1,9,5,5,2
Flamengo,8,5,9,5,10,5,6,1,5,2060,11,3,9,11,3,10,10,13,2
Fluminense,9,2,17,6,16,5,7,2,7,11,1612,4,8,7,3,6,5,15,4
Fortaleza,4,4,6,12,4,3,4,1,5,3,4,1566,4,2,6,6,9,6,4
Gremio,12,4,8,4,7,3,8,3,9,9,8,4,1936,24,20,7,5,7,4
Internacional,7,4,9,5,8,8,8,2,8,11,7,2,24,3262,17,12,5,3,2
Juventude,5,8,3,8,2,2,3,2,1,3,3,6,20,17,575,1,3,5,5
Palmeiras,7,2,12,9,12,23,11,1,9,10,6,6,7,12,1,3695,15,3,3
Sao Paulo,4,4,9,19,4,13,14,4,5,10,5,9,5,5,3,15,3989,6,2
Vasco,19,5,14,6,20,3,9,1,5,13,15,6,7,3,5,3,6,1654,5
Vitoria,4,5,3,18,4,2,3,2,2,2,4,4,4,2,5,3,2,5,614
